source_url,target_url,status_code,preserve_query_string,subpath_matching
hellomycab.com/ajmer-to-sikar-taxi-service,https://www.hellomycabs.com/ajmer-to-sikar-cab,301,false,false
hellomycab.com/ajmer-to-khatushyamji/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-khatushyamji,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-chomu/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-chomu,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bikaner-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bikaner-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jodhpur/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jodhpur,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-pali/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-pali,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-sosajet/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-sosajet,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jasilmer/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jasilmer,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-udaipur/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-udaipur,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ahemdabad-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ahemdabad-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-haridwar/,https://www.hellomycabs.com/ajmer-to-haridwar-cab,301,false,false
hellomycab.com/ajmer-to-haridwar,https://www.hellomycabs.com/ajmer-to-haridwar-cab,301,false,false
hellomycab.com/ajmer-to-lucknow-taxi-service/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-lucknow-taxi-service,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-kanpur/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-kanpur,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bareilly-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bareilly-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-aligarh/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-aligarh,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-rishikesh/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-rishikesh,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-meerut/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-meerut,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ganganagar/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ganganagar,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jhunjhunu-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-jhunjhunu-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-palani/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-palani,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/taxi-service-in-ajmer/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/taxi-service-in-ajmer,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/jaipur-taxi-service/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-taxi-service,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/kota/,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota-to-jaipur-taxi-service/,https://www.hellomycabs.com/kota-to-jaipur-cab,301,false,false
hellomycab.com/kota-to-jaipur-taxi-service,https://www.hellomycabs.com/kota-to-jaipur-cab,301,false,false
hellomycab.com/kota-to-jodhpur-taxi/,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota-to-jodhpur-taxi,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota-to-udaipur-taxi/,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota-to-udaipur-taxi,https://www.hellomycabs.com/cab-service-in-kota,301,false,false
hellomycab.com/kota-to-delhi-taxi/,https://www.hellomycabs.com/kota-to-delhi-cab,301,false,false
hellomycab.com/kota-to-delhi-taxi,https://www.hellomycabs.com/kota-to-delhi-cab,301,false,false
hellomycab.com/kota-to-haridwar-taxi/,https://www.hellomycabs.com/kota-to-haridwar-cab,301,false,false
hellomycab.com/kota-to-haridwar-taxi,https://www.hellomycabs.com/kota-to-haridwar-cab,301,false,false
hellomycab.com/kota-to-ajmer-taxi/,https://www.hellomycabs.com/kota-to-ajmer-cab,301,false,false
